Chi^2 Kaon Lines:
chi^2/NDF kaon = 2.1212
chi^2/NDF kaon = 2.28423
chi^2/NDF kaon = 2.06202
chi^2/NDF kaon = 1.82714
chi^2/NDF kaon = 7.29529
chi^2/NDF kaon = 2.2281
chi^2/NDF kaon = 2.4306
chi^2/NDF kaon = 2.06999
chi^2/NDF kaon = 1.69318
chi^2/NDF kaon = 1.84503
chi^2/NDF kaon = 2.69553
chi^2/NDF kaon = 2.33544
chi^2/NDF kaon = 2.02015
chi^2/NDF kaon = 2.54566
chi^2/NDF kaon = 2.30207
chi^2/NDF kaon = 1.57647
chi^2/NDF kaon = 2.2478
chi^2/NDF kaon = 2.86617
chi^2/NDF kaon = 2.3185
chi^2/NDF kaon = 2.06472
chi^2/NDF kaon = 1.75889
chi^2/NDF kaon = 2.06401
chi^2/NDF kaon = 2.10626
chi^2/NDF kaon = 2.5689
chi^2/NDF kaon = 1.52684
chi^2/NDF kaon = 2.03305
chi^2/NDF kaon = 2.27333
chi^2/NDF kaon = 2.40769
chi^2/NDF kaon = 2.33422
chi^2/NDF kaon = 2.24825
chi^2/NDF kaon = 1.80295
chi^2/NDF kaon = 2.527
chi^2/NDF kaon = 1.84122
chi^2/NDF kaon = 2.03992
chi^2/NDF kaon = 2.70107
chi^2/NDF kaon = 2.32289
chi^2/NDF kaon = 2.63523
chi^2/NDF kaon = 2.28732
chi^2/NDF kaon = 1.45307
chi^2/NDF kaon = 2.3277
chi^2/NDF kaon = 2.6997
chi^2/NDF kaon = 2.42842
chi^2/NDF kaon = 2.14065
chi^2/NDF kaon = 2.07746
chi^2/NDF kaon = 2.2926
chi^2/NDF kaon = 2.4322
chi^2/NDF kaon = 1.54333
chi^2/NDF kaon = 2.08437
chi^2/NDF kaon = 2.2633
chi^2/NDF kaon = 3.34982
chi^2/NDF kaon = 2.27024
chi^2/NDF kaon = 1.82337
chi^2/NDF kaon = 7.30212
chi^2/NDF kaon = 2.13269
chi^2/NDF kaon = 2.37083
chi^2/NDF kaon = 1.72257
chi^2/NDF kaon = 1.67184
chi^2/NDF kaon = 2.77641
chi^2/NDF kaon = 1.90556
chi^2/NDF kaon = 2.3822
chi^2/NDF kaon = 2.36466
chi^2/NDF kaon = 2.16433
chi^2/NDF kaon = 3.51498
chi^2/NDF kaon = 1.89397
chi^2/NDF kaon = 2.09635
chi^2/NDF kaon = 1.86432
chi^2/NDF kaon = 4.05127
chi^2/NDF kaon = 1.98154
chi^2/NDF kaon = 2.28725
chi^2/NDF kaon = 3.21067
chi^2/NDF kaon = 2.31871
chi^2/NDF kaon = 1.94043
chi^2/NDF kaon = 4.12401
chi^2/NDF kaon = 2.83265
chi^2/NDF kaon = 1.67388
chi^2/NDF kaon = 1.46786
chi^2/NDF kaon = 2.16603
chi^2/NDF kaon = 3.49436
chi^2/NDF kaon = 1.99076
chi^2/NDF kaon = 2.13013
chi^2/NDF kaon = 2.62626
chi^2/NDF kaon = 2.2118
chi^2/NDF kaon = 2.17209
chi^2/NDF kaon = 3.69399
chi^2/NDF kaon = 2.3584
chi^2/NDF kaon = 2.57987
chi^2/NDF kaon = 2.31084
chi^2/NDF kaon = 2.17726
chi^2/NDF kaon = 4.29996
chi^2/NDF kaon = 5.09951
chi^2/NDF kaon = 2.30972
chi^2/NDF kaon = 2.16104
chi^2/NDF kaon = 2.24031
chi^2/NDF kaon = 1.90387
chi^2/NDF kaon = 1.85285
chi^2/NDF kaon = 2.78962
chi^2/NDF kaon = 2.25318
chi^2/NDF kaon = 2.38017
chi^2/NDF kaon = 2.63355
chi^2/NDF kaon = 1.90507
chi^2/NDF kaon = 2.19488
chi^2/NDF kaon = 2.43584
chi^2/NDF kaon = 2.24703
chi^2/NDF kaon = 1.76954
chi^2/NDF kaon = 2.20241
chi^2/NDF kaon = 2.40742
chi^2/NDF kaon = 2.88604
chi^2/NDF kaon = 1.63004
chi^2/NDF kaon = 1.83854
chi^2/NDF kaon = 2.10788
chi^2/NDF kaon = 2.68405
chi^2/NDF kaon = 2.0549
chi^2/NDF kaon = 2.02389
chi^2/NDF kaon = 1.78051
chi^2/NDF kaon = 2.18244
chi^2/NDF kaon = 2.20933
chi^2/NDF kaon = 1.58941
chi^2/NDF kaon = 2.64261
chi^2/NDF kaon = 1.82144
chi^2/NDF kaon = 2.26441
chi^2/NDF kaon = 2.27517
chi^2/NDF kaon = 1.80912
chi^2/NDF kaon = 2.67206
chi^2/NDF kaon = 2.18049
chi^2/NDF kaon = 1.97119
chi^2/NDF kaon = 2.22773
chi^2/NDF kaon = 2.67952
chi^2/NDF kaon = 2.30982
chi^2/NDF kaon = 2.38971
chi^2/NDF kaon = 2.36229
chi^2/NDF kaon = 2.26829
chi^2/NDF kaon = 1.96877
chi^2/NDF kaon = 2.5825
chi^2/NDF kaon = 2.08763
chi^2/NDF kaon = 2.16995
chi^2/NDF kaon = 2.07701
chi^2/NDF kaon = 1.48225
chi^2/NDF kaon = 2.26724
chi^2/NDF kaon = 2.00474
chi^2/NDF kaon = 2.46969
chi^2/NDF kaon = 2.14609
chi^2/NDF kaon = 2.57588
chi^2/NDF kaon = 3.58695
chi^2/NDF kaon = 3.77928
chi^2/NDF kaon = 1.95158
chi^2/NDF kaon = 2.2904
chi^2/NDF kaon = 1.78153
chi^2/NDF kaon = 1.84853
chi^2/NDF kaon = 1.57802
chi^2/NDF kaon = 4.13808
chi^2/NDF kaon = 2.48488
