chi^2 double peak:
chi^2/NDF kaon = 1.6841
chi^2/NDF kaon = 2.88437
chi^2/NDF kaon = 2.52626
chi^2/NDF kaon = 2.14778
chi^2/NDF kaon = 25.7379
chi^2/NDF kaon = 2.12465
chi^2/NDF kaon = 2.34327
chi^2/NDF kaon = 2.11007
chi^2/NDF kaon = 1.56513
chi^2/NDF kaon = 3.1597
chi^2/NDF kaon = 1.90933
chi^2/NDF kaon = 2.05811
chi^2/NDF kaon = 1.49394
chi^2/NDF kaon = 3.32605
chi^2/NDF kaon = 2.32977
chi^2/NDF kaon = 2.52561
chi^2/NDF kaon = 2.68018
chi^2/NDF kaon = 2.2099
chi^2/NDF kaon = 2.39458
chi^2/NDF kaon = 2.14037
chi^2/NDF kaon = 2.10924
chi^2/NDF kaon = 2.28224
chi^2/NDF kaon = 2.41761
chi^2/NDF kaon = 2.37407
chi^2/NDF kaon = 1.87238
chi^2/NDF kaon = 2.85119
chi^2/NDF kaon = 3.08543
chi^2/NDF kaon = 2.08542
chi^2/NDF kaon = 2.04748
chi^2/NDF kaon = 2.00108
chi^2/NDF kaon = 1.76382
chi^2/NDF kaon = 2.04723
chi^2/NDF kaon = 2.28886
chi^2/NDF kaon = 2.22213
chi^2/NDF kaon = 2.35302
chi^2/NDF kaon = 2.12271
chi^2/NDF kaon = 2.77764
chi^2/NDF kaon = 2.30315
chi^2/NDF kaon = 2.34698
chi^2/NDF kaon = 2.2555
chi^2/NDF kaon = 3.06624
chi^2/NDF kaon = 2.0818
chi^2/NDF kaon = 2.28716
chi^2/NDF kaon = 2.08543
chi^2/NDF kaon = 2.11418
chi^2/NDF kaon = 2.56403
chi^2/NDF kaon = 1.80754
chi^2/NDF kaon = 2.17531
chi^2/NDF kaon = 1.8365
chi^2/NDF kaon = 1.39248
chi^2/NDF kaon = 2.20642
chi^2/NDF kaon = 2.04381
chi^2/NDF kaon = 1.76331
chi^2/NDF kaon = 1.66144
chi^2/NDF kaon = 1.41405
chi^2/NDF kaon = 2.52729
chi^2/NDF kaon = 2.23068
chi^2/NDF kaon = 2.20388
chi^2/NDF kaon = 2.76532
chi^2/NDF kaon = 2.46996
chi^2/NDF kaon = 2.61467
chi^2/NDF kaon = 3.82345
chi^2/NDF kaon = 1.9231
chi^2/NDF kaon = 2.8812
chi^2/NDF kaon = 2.17672
chi^2/NDF kaon = 2.32521
chi^2/NDF kaon = 1.81882
chi^2/NDF kaon = 2.48144
chi^2/NDF kaon = 2.61798
chi^2/NDF kaon = 1.98753
chi^2/NDF kaon = 2.06045
chi^2/NDF kaon = 2.71134
chi^2/NDF kaon = 2.27675
chi^2/NDF kaon = 2.34722
chi^2/NDF kaon = 2.88875
chi^2/NDF kaon = 2.12825
chi^2/NDF kaon = 2.97154
chi^2/NDF kaon = 2.44213
chi^2/NDF kaon = 1.27119
chi^2/NDF kaon = 2.57573
chi^2/NDF kaon = 2.076
chi^2/NDF kaon = 2.12513
chi^2/NDF kaon = 2.19857
chi^2/NDF kaon = 2.14948
chi^2/NDF kaon = 2.10879
chi^2/NDF kaon = 2.57434
chi^2/NDF kaon = 2.40178
chi^2/NDF kaon = 2.5597
chi^2/NDF kaon = 2.66677
chi^2/NDF kaon = 1.94486
chi^2/NDF kaon = 2.35441
chi^2/NDF kaon = 2.54018
chi^2/NDF kaon = 2.21966
chi^2/NDF kaon = 2.12479
chi^2/NDF kaon = 2.98519
chi^2/NDF kaon = 2.04486
chi^2/NDF kaon = 2.13398
chi^2/NDF kaon = 2.23088
chi^2/NDF kaon = 2.18449
chi^2/NDF kaon = 1.83734
chi^2 single peak:
chi^2/NDF atmospheric = 7.1146
chi^2/NDF atmospheric = 4.43573
chi^2/NDF atmospheric = 3.30145
chi^2/NDF atmospheric = 3.81187
chi^2/NDF atmospheric = 40.8395
chi^2/NDF atmospheric = 3.88113
chi^2/NDF atmospheric = 3.29972
chi^2/NDF atmospheric = 3.03364
chi^2/NDF atmospheric = 3.88728
chi^2/NDF atmospheric = 5.37688
chi^2/NDF atmospheric = 4.2502
chi^2/NDF atmospheric = 2.97852
chi^2/NDF atmospheric = 3.24978
chi^2/NDF atmospheric = 4.85297
chi^2/NDF atmospheric = 4.43778
chi^2/NDF atmospheric = 4.1801
chi^2/NDF atmospheric = 3.85023
chi^2/NDF atmospheric = 4.01318
chi^2/NDF atmospheric = 4.48059
chi^2/NDF atmospheric = 3.13404
chi^2/NDF atmospheric = 2.96151
chi^2/NDF atmospheric = 3.49855
