chi^2 double peak:
chi^2/NDF kaon = 2.1674
chi^2/NDF kaon = 1.80408
chi^2/NDF kaon = 1.90749
chi^2/NDF kaon = 2.84579
chi^2/NDF kaon = 3.17234
chi^2/NDF kaon = 1.81111
chi^2/NDF kaon = 3.59532
chi^2/NDF kaon = 2.36011
chi^2/NDF kaon = 2.08177
chi^2/NDF kaon = 2.25212
chi^2/NDF kaon = 1.63453
chi^2/NDF kaon = 2.05694
chi^2/NDF kaon = 2.01573
chi^2/NDF kaon = 2.34469
chi^2/NDF kaon = 3.13986
chi^2/NDF kaon = 2.2385
chi^2/NDF kaon = 2.44782
chi^2/NDF kaon = 3.44194
chi^2/NDF kaon = 2.45099
chi^2/NDF kaon = 2.54361
chi^2/NDF kaon = 2.36426
chi^2/NDF kaon = 2.6182
chi^2/NDF kaon = 3.25652
chi^2/NDF kaon = 2.5895
chi^2/NDF kaon = 2.19517
chi^2/NDF kaon = 2.16938
chi^2/NDF kaon = 2.47563
chi^2/NDF kaon = 2.16594
chi^2/NDF kaon = 2.03999
chi^2/NDF kaon = 2.54404
chi^2/NDF kaon = 2.53955
chi^2/NDF kaon = 2.63833
chi^2/NDF kaon = 3.89389
chi^2/NDF kaon = 2.31599
chi^2/NDF kaon = 2.24709
chi^2/NDF kaon = 26.2629
chi^2/NDF kaon = 2.37911
chi^2/NDF kaon = 2.60838
chi^2/NDF kaon = 2.93388
chi^2/NDF kaon = 1.68515
chi^2/NDF kaon = 2.11736
chi^2/NDF kaon = 2.51744
chi^2/NDF kaon = 2.21606
chi^2/NDF kaon = 1.92258
chi^2/NDF kaon = 2.86576
chi^2/NDF kaon = 2.14757
chi^2/NDF kaon = 2.13125
chi^2/NDF kaon = 3.46836
chi^2/NDF kaon = 1.88894
chi^2/NDF kaon = 2.15846
chi^2/NDF kaon = 107.968
chi^2/NDF kaon = 2.13489
chi^2/NDF kaon = 3.0966
chi^2/NDF kaon = 4.62644
chi^2/NDF kaon = 2.25077
chi^2/NDF kaon = 2.29988
chi^2/NDF kaon = 2.30815
chi^2/NDF kaon = 2.28135
chi^2/NDF kaon = 1.67902
chi^2/NDF kaon = 2.19211
chi^2/NDF kaon = 1.97444
chi^2/NDF kaon = 2.99956
chi^2/NDF kaon = 2.25851
chi^2/NDF kaon = 1.98003
chi^2/NDF kaon = 2.06081
chi^2/NDF kaon = 2.73786
chi^2/NDF kaon = 1.81178
chi^2/NDF kaon = 1.77099
chi^2/NDF kaon = 1.88705
chi^2/NDF kaon = 3.67094
chi^2/NDF kaon = 2.31593
chi^2/NDF kaon = 3.71364
chi^2/NDF kaon = 1.94738
chi^2/NDF kaon = 2.04356
chi^2/NDF kaon = 4.14187
chi^2/NDF kaon = 2.48333
chi^2/NDF kaon = 2.66648
chi^2/NDF kaon = 3.30804
chi^2/NDF kaon = 2.85014
chi^2/NDF kaon = 2.52762
chi^2/NDF kaon = 2.6564
chi^2/NDF kaon = 3.38201
chi^2/NDF kaon = 3.79385
chi^2/NDF kaon = 2.30494
chi^2/NDF kaon = 1.75073
chi^2/NDF kaon = 3.07607
chi^2/NDF kaon = 2.53602
chi^2/NDF kaon = 2.65026
chi^2/NDF kaon = 2.55866
chi^2/NDF kaon = 2.32575
chi^2/NDF kaon = 2.55095
chi^2/NDF kaon = 2.2775
chi^2/NDF kaon = 1.98728
chi^2/NDF kaon = 2.54682
chi^2/NDF kaon = 2.14148
chi^2/NDF kaon = 2.12546
chi^2/NDF kaon = 5.81637
chi^2/NDF kaon = 8.79753
chi^2/NDF kaon = 2.1133
chi^2/NDF kaon = 4.1791
chi^2 single peak:
chi^2/NDF atmospheric = 3.44167
chi^2/NDF atmospheric = 4.00665
chi^2/NDF atmospheric = 4.32885
chi^2/NDF atmospheric = 5.39226
chi^2/NDF atmospheric = 3.17432
chi^2/NDF atmospheric = 2.71789
chi^2/NDF atmospheric = 4.96818
chi^2/NDF atmospheric = 3.98564
chi^2/NDF atmospheric = 3.2461
chi^2/NDF atmospheric = 3.76875
chi^2/NDF atmospheric = 3.04639
chi^2/NDF atmospheric = 2.85479
chi^2/NDF atmospheric = 10.4859
chi^2/NDF atmospheric = 3.11624
chi^2/NDF atmospheric = 5.96604
chi^2/NDF atmospheric = 3.73804
chi^2/NDF atmospheric = 4.04678
chi^2/NDF atmospheric = 5.39488
chi^2/NDF atmospheric = 4.14369
chi^2/NDF atmospheric = 4.30203
chi^2/NDF atmospheric = 4.79825
chi^2/NDF atmospheric = 7.47833
chi^2/NDF atmospheric = 45.6406
chi^2/NDF atmospheric = 4.06818
chi^2/NDF atmospheric = 3.02356
chi^2/NDF atmospheric = 3.03524
chi^2/NDF atmospheric = 3.72104
chi^2/NDF atmospheric = 3.1912
chi^2/NDF atmospheric = 4.18382
chi^2/NDF atmospheric = 4.72901
chi^2/NDF atmospheric = 4.86822
chi^2/NDF atmospheric = 9.76115
chi^2/NDF atmospheric = 5.51216
chi^2/NDF atmospheric = 4.66383
chi^2/NDF atmospheric = 9.56249
chi^2/NDF atmospheric = 36.1676
chi^2/NDF atmospheric = 4.13548
chi^2/NDF atmospheric = 3.69038
chi^2/NDF atmospheric = 4.89299
chi^2/NDF atmospheric = 7.53081
chi^2/NDF atmospheric = 3.38436
chi^2/NDF atmospheric = 4.52649
chi^2/NDF atmospheric = 3.50485
chi^2/NDF atmospheric = 2.80627
chi^2/NDF atmospheric = 4.43892
chi^2/NDF atmospheric = 3.14804
chi^2/NDF atmospheric = 3.06277
chi^2/NDF atmospheric = 7.71296
chi^2/NDF atmospheric = 2.94741
chi^2/NDF atmospheric = 3.68046
chi^2/NDF atmospheric = 2634.26
chi^2/NDF atmospheric = 3.61098
chi^2/NDF atmospheric = 5.9664
chi^2/NDF atmospheric = 7.25135
chi^2/NDF atmospheric = 3.65708
chi^2/NDF atmospheric = 3.83987
chi^2/NDF atmospheric = 3.21588
chi^2/NDF atmospheric = 4.11508
chi^2/NDF atmospheric = 3.69235
chi^2/NDF atmospheric = 3.13755
chi^2/NDF atmospheric = 2.71401
chi^2/NDF atmospheric = 4.53561
chi^2/NDF atmospheric = 3.57973
chi^2/NDF atmospheric = 4.30069
chi^2/NDF atmospheric = 3.48528
chi^2/NDF atmospheric = 4.20166
chi^2/NDF atmospheric = 4.43732
chi^2/NDF atmospheric = 6.21921
chi^2/NDF atmospheric = 2.84829
chi^2/NDF atmospheric = 6.58296
chi^2/NDF atmospheric = 4.62025
chi^2/NDF atmospheric = 5.33776
chi^2/NDF atmospheric = 2.74902
chi^2/NDF atmospheric = 2.84048
chi^2/NDF atmospheric = 8.21517
chi^2/NDF atmospheric = 5.40904
chi^2/NDF atmospheric = 3.79556
chi^2/NDF atmospheric = 5.28417
chi^2/NDF atmospheric = 5.14041
chi^2/NDF atmospheric = 3.50209
chi^2/NDF atmospheric = 4.18026
chi^2/NDF atmospheric = 4.56886
chi^2/NDF atmospheric = 6.53659
chi^2/NDF atmospheric = 4.57962
chi^2/NDF atmospheric = 3.35266
chi^2/NDF atmospheric = 5.29996
chi^2/NDF atmospheric = 4.06983
chi^2/NDF atmospheric = 5.41346
chi^2/NDF atmospheric = 4.78296
chi^2/NDF atmospheric = 2.95124
chi^2/NDF atmospheric = 5.05643
chi^2/NDF atmospheric = 4.30072
chi^2/NDF atmospheric = 3.73457
chi^2/NDF atmospheric = 4.14531
chi^2/NDF atmospheric = 3.5792
chi^2/NDF atmospheric = 7.98473
chi^2/NDF atmospheric = 8.64102
chi^2/NDF atmospheric = 3.86181
chi^2/NDF atmospheric = 5.00102
chi^2/NDF atmospheric = 5.54324
