chi^2 double peak:
chi^2/NDF atmospheric = 4.65682
chi^2/NDF atmospheric = 10.3193
chi^2/NDF atmospheric = 5.86108
chi^2/NDF atmospheric = 3.20107
chi^2/NDF atmospheric = 2.86664
chi^2/NDF atmospheric = 4.02661
chi^2/NDF atmospheric = 3.79595
chi^2/NDF atmospheric = 3.10367
chi^2/NDF atmospheric = 3.3425
chi^2/NDF atmospheric = 4.44494
chi^2/NDF atmospheric = 5.79949
chi^2/NDF atmospheric = 3.23428
chi^2/NDF atmospheric = 4.33504
chi^2/NDF atmospheric = 4.11501
chi^2/NDF atmospheric = 2.88186
chi^2/NDF atmospheric = 3.8249
chi^2/NDF atmospheric = 3.9512
chi^2/NDF atmospheric = 4.21523
chi^2/NDF atmospheric = 4.35234
chi^2/NDF atmospheric = 4.5142
chi^2/NDF atmospheric = 3.51425
chi^2/NDF atmospheric = 4.46025
chi^2/NDF atmospheric = 3.82572
chi^2/NDF atmospheric = 3.30791
chi^2/NDF atmospheric = 4.17383
chi^2/NDF atmospheric = 3.66673
chi^2/NDF atmospheric = 5.01205
chi^2/NDF atmospheric = 3.5917
chi^2/NDF atmospheric = 4.87026
chi^2/NDF atmospheric = 3.41971
chi^2/NDF atmospheric = 4.07992
