chi^2 double peak:
chi^2/NDF kaon = 2.30338
chi^2/NDF kaon = 1.90789
chi^2/NDF kaon = 2.17942
chi^2/NDF kaon = 1.92535
chi^2/NDF kaon = 2.20313
chi^2/NDF kaon = 2.92102
chi^2/NDF kaon = 1.87726
chi^2/NDF kaon = 1.35981
chi^2/NDF kaon = 2.32413
chi^2/NDF kaon = 2.49977
chi^2/NDF kaon = 2.12172
chi^2/NDF kaon = 2.28082
chi^2/NDF kaon = 1.69809
chi^2/NDF kaon = 2.18208
chi^2/NDF kaon = 1.71686
chi^2/NDF kaon = 2.49136
chi^2/NDF kaon = 2.29215
chi^2/NDF kaon = 1.98011
chi^2/NDF kaon = 1.88925
chi^2/NDF kaon = 2.13597
chi^2/NDF kaon = 2.0151
chi^2/NDF kaon = 2.2962
chi^2/NDF kaon = 1.99091
chi^2/NDF kaon = 2.22857
chi^2/NDF kaon = 3.38709
chi^2/NDF kaon = 1.64415
chi^2/NDF kaon = 2.36852
chi^2/NDF kaon = 3.00614
chi^2/NDF kaon = 1.58816
chi^2/NDF kaon = 1.95976
chi^2/NDF kaon = 1.93127
chi^2/NDF kaon = 3.21619
chi^2/NDF kaon = 2.49159
chi^2/NDF kaon = 2.53998
chi^2/NDF kaon = 3.00426
chi^2/NDF kaon = 2.29325
chi^2/NDF kaon = 2.24423
chi^2/NDF kaon = 3.3498
chi^2/NDF kaon = 2.53297
chi^2/NDF kaon = 2.34556
chi^2/NDF kaon = 2.10387
chi^2/NDF kaon = 1.76655
chi^2/NDF kaon = 2.08133
chi^2/NDF kaon = 2.4911
chi^2/NDF kaon = 2.12194
chi^2/NDF kaon = 5.14636
chi^2/NDF kaon = 2.31097
chi^2/NDF kaon = 1.59254
chi^2/NDF kaon = 2.18512
chi^2/NDF kaon = 2.22028
chi^2/NDF kaon = 1.8406
chi^2/NDF kaon = 2.27367
chi^2/NDF kaon = 2.25421
chi^2/NDF kaon = 2.16742
chi^2/NDF kaon = 1.9395
chi^2/NDF kaon = 1.86961
chi^2/NDF kaon = 2.51644
chi^2/NDF kaon = 1.88896
chi^2/NDF kaon = 2.35696
chi^2/NDF kaon = 2.21137
chi^2/NDF kaon = 2.13789
chi^2/NDF kaon = 2.54352
chi^2/NDF kaon = 1.54951
chi^2/NDF kaon = 2.06979
chi^2/NDF kaon = 2.34658
chi^2/NDF kaon = 1.87525
chi^2/NDF kaon = 2.61485
chi^2/NDF kaon = 2.7259
chi^2/NDF kaon = 2.42734
chi^2/NDF kaon = 2.1415
chi^2/NDF kaon = 2.02948
chi^2/NDF kaon = 2.3782
chi^2/NDF kaon = 2.45696
chi^2/NDF kaon = 2.089
chi^2/NDF kaon = 2.84673
chi^2/NDF kaon = 2.38804
chi^2/NDF kaon = 2.40268
chi^2/NDF kaon = 2.34121
chi^2/NDF kaon = 4.74666
chi^2/NDF kaon = 4.34164
chi^2/NDF kaon = 1.78238
chi^2/NDF kaon = 2.3736
chi^2/NDF kaon = 1.49572
chi^2/NDF kaon = 2.1176
chi^2/NDF kaon = 2.56395
chi^2/NDF kaon = 3.34111
chi^2/NDF kaon = 1.9924
chi^2/NDF kaon = 1.56122
chi^2/NDF kaon = 2.71036
chi^2/NDF kaon = 2.0559
chi^2/NDF kaon = 1.55821
chi^2/NDF kaon = 1.86993
chi^2/NDF kaon = 2.16831
chi^2/NDF kaon = 2.07966
chi^2/NDF kaon = 1.65505
chi^2/NDF kaon = 2.37256
chi^2/NDF kaon = 2.27439
chi^2/NDF kaon = 8.6344
chi^2/NDF kaon = 2.4912
chi^2/NDF kaon = 2.78975
chi^2 single peak:
chi^2/NDF atmospheric = 3.30705
chi^2/NDF atmospheric = 3.74549
chi^2/NDF atmospheric = 3.76976
chi^2/NDF atmospheric = 3.30311
chi^2/NDF atmospheric = 3.01016
chi^2/NDF atmospheric = 4.71388
chi^2/NDF atmospheric = 4.34734
chi^2/NDF atmospheric = 2.74697
chi^2/NDF atmospheric = 3.2625
chi^2/NDF atmospheric = 3.9325
chi^2/NDF atmospheric = 3.94454
chi^2/NDF atmospheric = 3.97373
chi^2/NDF atmospheric = 3.73153
