Chi^2 Kaon Lines:
chi^2/NDF kaon = 1.39902
chi^2/NDF kaon = 286.518
chi^2/NDF kaon = 1.78146
chi^2/NDF kaon = 1.41709
chi^2/NDF kaon = 1.76998
chi^2/NDF kaon = 27.4074
chi^2/NDF kaon = 1.38395
chi^2/NDF kaon = 1.38985
chi^2/NDF kaon = 1.30997
chi^2/NDF kaon = 1.3962
chi^2/NDF kaon = 1.89294
chi^2/NDF kaon = 11.6527
chi^2/NDF kaon = 1.60699
chi^2/NDF kaon = 1.32308
chi^2/NDF kaon = 1.39912
chi^2/NDF kaon = 1.31536
chi^2/NDF kaon = 1.76118
chi^2/NDF kaon = 1.54141
chi^2/NDF kaon = 1.29305
chi^2/NDF kaon = 1.71606
chi^2/NDF kaon = 54.5908
chi^2/NDF kaon = 1.6817
chi^2/NDF kaon = 59.8495
chi^2/NDF kaon = 77.2076
chi^2/NDF kaon = 1.73024
chi^2/NDF kaon = 1.6955
chi^2/NDF kaon = 1.37867
chi^2/NDF kaon = 1.49773
chi^2/NDF kaon = 1.29382
chi^2/NDF kaon = 1.91761
chi^2/NDF kaon = 1.95858
chi^2/NDF kaon = 1.51821
chi^2/NDF kaon = 1.79913
chi^2/NDF kaon = 1.40247
chi^2/NDF kaon = 1.6682
chi^2/NDF kaon = 1.74089
chi^2/NDF kaon = 1.56793
chi^2/NDF kaon = 1.79832
chi^2/NDF kaon = 67.5375
chi^2/NDF kaon = 1.29485
chi^2/NDF kaon = 1.7899
chi^2/NDF kaon = 1.86541
chi^2/NDF kaon = 1.29946
chi^2/NDF kaon = 1.99272
chi^2/NDF kaon = 1.85751
chi^2/NDF kaon = 1.73131
chi^2/NDF kaon = 1.82501
chi^2/NDF kaon = 1.70141
chi^2/NDF kaon = 1.36471
chi^2/NDF kaon = 1.77179
chi^2/NDF kaon = 1.93211
chi^2/NDF kaon = 1.915
chi^2/NDF kaon = 1.8644
chi^2/NDF kaon = 2.26788
chi^2/NDF kaon = 1.39666
chi^2/NDF kaon = 1.40301
chi^2/NDF kaon = 1.39933
chi^2/NDF kaon = 1.73653
chi^2/NDF kaon = 1.78381
chi^2/NDF kaon = 1.83909
chi^2/NDF kaon = 3.71299
chi^2/NDF kaon = 1.31256
chi^2/NDF kaon = 1.77832
chi^2/NDF kaon = 71.8689
chi^2/NDF kaon = 1.69626
chi^2/NDF kaon = 1.41602
chi^2/NDF kaon = 1.71651
chi^2/NDF kaon = 1.32625
chi^2/NDF kaon = 1.44848
chi^2/NDF kaon = 1.86593
chi^2/NDF kaon = 1.78219
chi^2/NDF kaon = 1.43048
chi^2/NDF kaon = 65.0033
chi^2/NDF kaon = 1.79387
chi^2/NDF kaon = 1.79584
chi^2/NDF kaon = 1.37232
chi^2/NDF kaon = 77.0463
chi^2/NDF kaon = 1.8514
chi^2/NDF kaon = 1.86071
chi^2/NDF kaon = 1.4729
chi^2/NDF kaon = 1.91527
chi^2/NDF kaon = 56.8043
chi^2/NDF kaon = 10.8795
chi^2/NDF kaon = 1.47712
chi^2/NDF kaon = 52.3961
chi^2/NDF kaon = 64.8907
chi^2/NDF kaon = 1.93501
chi^2/NDF kaon = 1.46357
chi^2/NDF kaon = 1.32939
chi^2/NDF kaon = 40.0932
chi^2/NDF kaon = 1.70317
chi^2/NDF kaon = 1.85655
chi^2/NDF kaon = 1.41966
chi^2/NDF kaon = 1.46879
chi^2/NDF kaon = 1.34585
chi^2/NDF kaon = 1.52225
chi^2/NDF kaon = 1.32057
chi^2/NDF kaon = 1.80404
chi^2/NDF kaon = 1.81742
chi^2/NDF kaon = 42.7315
chi^2/NDF kaon = 35.04
chi^2/NDF kaon = 1.82978
chi^2/NDF kaon = 1.33732
chi^2/NDF kaon = 37.3498
chi^2/NDF kaon = 1.7822
chi^2/NDF kaon = 284.122
chi^2/NDF kaon = 1.46941
chi^2/NDF kaon = 1.78134
chi^2/NDF kaon = 1.53249
chi^2/NDF kaon = 1.46641
chi^2/NDF kaon = 1.43587
chi^2/NDF kaon = 1.83909
chi^2/NDF kaon = 1.41767
chi^2/NDF kaon = 1.77053
chi^2/NDF kaon = 1.96106
chi^2/NDF kaon = 1.35276
chi^2/NDF kaon = 6.15149
chi^2/NDF kaon = 35.9622
chi^2/NDF kaon = 1.81149
chi^2/NDF kaon = 1.3374
chi^2/NDF kaon = 1.43722
chi^2/NDF kaon = 36.5419
chi^2/NDF kaon = 1.69901
chi^2/NDF kaon = 1.42329
chi^2/NDF kaon = 1.31488
chi^2/NDF kaon = 1.68422
chi^2/NDF kaon = 16.0828
chi^2/NDF kaon = 1.78911
chi^2/NDF kaon = 1.30229
chi^2/NDF kaon = 1.78676
chi^2/NDF kaon = 1.7353
chi^2/NDF kaon = 42.2967
chi^2/NDF kaon = 1.64346
chi^2/NDF kaon = 1.52839
chi^2/NDF kaon = 1.38031
chi^2/NDF kaon = 1.87853
chi^2/NDF kaon = 1.84505
chi^2/NDF kaon = 1.65561
chi^2/NDF kaon = 1.31038
chi^2/NDF kaon = 1.73516
chi^2/NDF kaon = 1.42952
chi^2/NDF kaon = 1.40043
chi^2/NDF kaon = 1.78419
chi^2/NDF kaon = 1.74794
chi^2/NDF kaon = 1.34298
chi^2/NDF kaon = 1.67801
chi^2/NDF kaon = 1.66255
chi^2/NDF kaon = 1.84409
chi^2/NDF kaon = 1.89854
chi^2/NDF kaon = 1.29825
chi^2/NDF kaon = 5.36947
chi^2/NDF kaon = 1.90243
chi^2/NDF kaon = 1.28142
chi^2/NDF kaon = 1.44131
chi^2/NDF kaon = 1.46206
chi^2/NDF kaon = 1.91577
chi^2/NDF kaon = 1.84466
chi^2/NDF kaon = 1.42466
chi^2/NDF kaon = 1.71061
chi^2/NDF kaon = 1.32603
chi^2/NDF kaon = 1.40003
chi^2/NDF kaon = 1.33655
chi^2/NDF kaon = 1.59935
chi^2/NDF kaon = 1.42364
chi^2/NDF kaon = 1.76137
chi^2/NDF kaon = 1.6437
chi^2/NDF kaon = 1.32453
chi^2/NDF kaon = 1.47447
chi^2/NDF kaon = 1.43651
chi^2/NDF kaon = 1.86266
chi^2/NDF kaon = 1.70226
chi^2/NDF kaon = 2.45671
chi^2/NDF kaon = 1.72307
chi^2/NDF kaon = 1.74149
chi^2/NDF kaon = 1.34859
chi^2/NDF kaon = 1.29254
chi^2/NDF kaon = 1.81192
chi^2/NDF kaon = 1.39535
chi^2/NDF kaon = 34.7542
chi^2/NDF kaon = 1.84988
chi^2/NDF kaon = 1.78851
chi^2/NDF kaon = 1.3906
chi^2/NDF kaon = 1.53808
chi^2/NDF kaon = 1.3524
chi^2/NDF kaon = 15.8371
chi^2/NDF kaon = 1.87682
chi^2/NDF kaon = 1.84173
chi^2/NDF kaon = 1.49507
chi^2/NDF kaon = 1.85385
chi^2/NDF kaon = 3.55081
chi^2/NDF kaon = 1.36737
chi^2/NDF kaon = 1.74482
chi^2/NDF kaon = 54.6261
chi^2/NDF kaon = 1.41964
chi^2/NDF kaon = 1.42827
chi^2/NDF kaon = 67.3097
chi^2/NDF kaon = 38.2713
chi^2/NDF kaon = 1.76981
chi^2/NDF kaon = 1.4432
chi^2/NDF kaon = 54.4409
chi^2/NDF kaon = 1.34794
chi^2/NDF kaon = 1.32572
chi^2/NDF kaon = 1.41416
chi^2/NDF kaon = 1.41589
chi^2/NDF kaon = 1.35423
chi^2/NDF kaon = 1.3965
chi^2/NDF kaon = 1.4431
chi^2/NDF kaon = 1.33305
chi^2/NDF kaon = 1.40371
chi^2/NDF kaon = 1.91021
chi^2/NDF kaon = 1.21236
chi^2/NDF kaon = 1.38694
chi^2/NDF kaon = 71.9724
chi^2/NDF kaon = 1.78116
chi^2/NDF kaon = 1.30045
chi^2/NDF kaon = 1.69714
chi^2/NDF kaon = 1.32748
chi^2/NDF kaon = 43.003
chi^2/NDF kaon = 1.36383
chi^2/NDF kaon = 43.9309
chi^2/NDF kaon = 1.41394
chi^2/NDF kaon = 1.34064
chi^2/NDF kaon = 1.33881
chi^2/NDF kaon = 1.82135
chi^2/NDF kaon = 1.46611
chi^2/NDF kaon = 1.42655
chi^2/NDF kaon = 1.8039
chi^2/NDF kaon = 1.74208
chi^2/NDF kaon = 4.40544
chi^2/NDF kaon = 1.49081
chi^2/NDF kaon = 1.69404
chi^2/NDF kaon = 187.526
chi^2/NDF kaon = 111.655
chi^2/NDF kaon = 1.65474
chi^2/NDF kaon = 1.72319
chi^2/NDF kaon = 1.76544
chi^2/NDF kaon = 1.38403
chi^2/NDF kaon = 1.3767
chi^2/NDF kaon = 57.4914
chi^2/NDF kaon = 1.54167
chi^2/NDF kaon = 1.88145
chi^2/NDF kaon = 1.39337
chi^2/NDF kaon = 27.0107
chi^2/NDF kaon = 1.72352
chi^2/NDF kaon = 1.79811
chi^2/NDF kaon = 1.50063
chi^2/NDF kaon = 1.39626
chi^2/NDF kaon = 1.37127
chi^2/NDF kaon = 1.91463
chi^2/NDF kaon = 1.81379
chi^2/NDF kaon = 1.38217
chi^2/NDF kaon = 1.38064
chi^2/NDF kaon = 1.91915
chi^2/NDF kaon = 1.32025
chi^2/NDF kaon = 48.7246
chi^2/NDF kaon = 51.9269
chi^2/NDF kaon = 1.76532
chi^2/NDF kaon = 1.4913
chi^2/NDF kaon = 1.84336
chi^2/NDF kaon = 1.97716
chi^2/NDF kaon = 1.43219
chi^2/NDF kaon = 1.32747
chi^2/NDF kaon = 1.25149
chi^2/NDF kaon = 1.66439
chi^2/NDF kaon = 4.39074
chi^2/NDF kaon = 1.63068
chi^2/NDF kaon = 141.148
chi^2/NDF kaon = 1.27034
chi^2/NDF kaon = 1.83182
chi^2/NDF kaon = 1.42101
chi^2/NDF kaon = 1.85323
chi^2/NDF kaon = 1.44984
chi^2/NDF kaon = 1.77601
chi^2/NDF kaon = 1.20739
chi^2/NDF kaon = 1.69658
chi^2/NDF kaon = 1.77296
chi^2/NDF kaon = 1.77687
chi^2/NDF kaon = 1.61931
chi^2/NDF kaon = 1.33457
chi^2/NDF kaon = 1.98562
chi^2/NDF kaon = 1.76281
chi^2/NDF kaon = 1.3379
chi^2/NDF kaon = 1.49697
chi^2/NDF kaon = 1.38941
chi^2/NDF kaon = 1.32373
chi^2/NDF kaon = 1.41913
chi^2/NDF kaon = 1.41726
chi^2/NDF kaon = 1.42001
chi^2/NDF kaon = 1.74998
chi^2/NDF kaon = 1.79627
chi^2/NDF kaon = 1.70361
chi^2/NDF kaon = 1.50333
chi^2/NDF kaon = 1.90691
chi^2/NDF kaon = 1.73449
chi^2/NDF kaon = 1.80503
chi^2/NDF kaon = 1.36901
chi^2/NDF kaon = 1.40582
chi^2/NDF kaon = 1.3428
chi^2/NDF kaon = 1.8978
chi^2/NDF kaon = 1.42204
chi^2/NDF kaon = 1.72708
chi^2/NDF kaon = 1.76037
chi^2/NDF kaon = 1.32889
chi^2/NDF kaon = 1.46225
chi^2/NDF kaon = 1.77495
chi^2/NDF kaon = 1.39213
chi^2/NDF kaon = 1.28541
chi^2/NDF kaon = 1.58076
chi^2/NDF kaon = 1.41113
chi^2/NDF kaon = 1.69094
chi^2/NDF kaon = 1.28381
chi^2/NDF kaon = 1.73122
chi^2/NDF kaon = 1.70669
chi^2/NDF kaon = 1.6481
chi^2/NDF kaon = 1.70635
chi^2/NDF kaon = 81.403
chi^2/NDF kaon = 1.5675
chi^2/NDF kaon = 38.8254
chi^2/NDF kaon = 70.7475
chi^2/NDF kaon = 1.764
chi^2/NDF kaon = 1.40397
chi^2/NDF kaon = 1.41024
chi^2/NDF kaon = 1.50033
chi^2/NDF kaon = 1.41158
chi^2/NDF kaon = 1.3453
chi^2/NDF kaon = 1.78289
chi^2/NDF kaon = 1.96514
chi^2/NDF kaon = 1.73768
chi^2/NDF kaon = 1.41489
chi^2/NDF kaon = 1.72402
chi^2/NDF kaon = 64.6583
chi^2/NDF kaon = 1.49689
chi^2/NDF kaon = 1.42133
chi^2/NDF kaon = 1.33871
chi^2/NDF kaon = 1.35282
chi^2/NDF kaon = 1.40606
chi^2/NDF kaon = 1.88193
chi^2/NDF kaon = 1.391
chi^2/NDF kaon = 1.35965
chi^2/NDF kaon = 1.39523
chi^2/NDF kaon = 2.24648
chi^2/NDF kaon = 48.5479
chi^2/NDF kaon = 2.00153
chi^2/NDF kaon = 8.0338
chi^2/NDF kaon = 1.97298
chi^2/NDF kaon = 1.87051
chi^2/NDF kaon = 1.40461
chi^2/NDF kaon = 2.03541
chi^2/NDF kaon = 1.8557
chi^2/NDF kaon = 1.36455
chi^2/NDF kaon = 1.84778
chi^2/NDF kaon = 1.37103
chi^2/NDF kaon = 1.61017
chi^2/NDF kaon = 1.58315
chi^2/NDF kaon = 1.38339
chi^2/NDF kaon = 1.3163
chi^2/NDF kaon = 1.96086
chi^2/NDF kaon = 1.34502
chi^2/NDF kaon = 1.54609
chi^2/NDF kaon = 1.80731
chi^2/NDF kaon = 1.43251
chi^2/NDF kaon = 1.57336
chi^2/NDF kaon = 1.81752
chi^2/NDF kaon = 49.8378
chi^2/NDF kaon = 1.44003
chi^2/NDF kaon = 1.42449
chi^2/NDF kaon = 1.77193
chi^2/NDF kaon = 1.3738
chi^2/NDF kaon = 1.43805
chi^2/NDF kaon = 285.988
chi^2/NDF kaon = 1.45316
chi^2/NDF kaon = 1.45942
chi^2/NDF kaon = 1.76573
chi^2/NDF kaon = 4.33161
chi^2/NDF kaon = 3.22199
chi^2/NDF kaon = 1.71065
chi^2/NDF kaon = 1.6918
chi^2/NDF kaon = 1.29913
chi^2/NDF kaon = 1.3223
chi^2/NDF kaon = 1.38083
chi^2/NDF kaon = 109.598
chi^2/NDF kaon = 1.8524
chi^2/NDF kaon = 1.57928
chi^2/NDF kaon = 1.92387
chi^2/NDF kaon = 1.73128
chi^2/NDF kaon = 1.82438
chi^2/NDF kaon = 1.80668
chi^2/NDF kaon = 1.69202
chi^2/NDF kaon = 1.91968
chi^2/NDF kaon = 1.54209
chi^2/NDF kaon = 1.80205
chi^2/NDF kaon = 1.30413
chi^2/NDF kaon = 2.08541
chi^2/NDF kaon = 1.31211
chi^2/NDF kaon = 1.41617
chi^2/NDF kaon = 49.5366
chi^2/NDF kaon = 1.51487
chi^2/NDF kaon = 1.51332
chi^2/NDF kaon = 1.42793
chi^2/NDF kaon = 1.75001
chi^2/NDF kaon = 68.2594
chi^2/NDF kaon = 1.52187
chi^2/NDF kaon = 1.72118
chi^2/NDF kaon = 70.9881
chi^2/NDF kaon = 1.94319
chi^2/NDF kaon = 1.66184
chi^2/NDF kaon = 17.9088
chi^2/NDF kaon = 1.77469
chi^2/NDF kaon = 71.8964
chi^2/NDF kaon = 28.9547
chi^2/NDF kaon = 1.4619
chi^2/NDF kaon = 1.34384
chi^2/NDF kaon = 1.45488
chi^2/NDF kaon = 1.31185
chi^2/NDF kaon = 5.74837
chi^2/NDF kaon = 1.58379
chi^2/NDF kaon = 66.8211
chi^2/NDF kaon = 44.3736
chi^2/NDF kaon = 1.83728
chi^2/NDF kaon = 33.5033
chi^2/NDF kaon = 19.4451
chi^2/NDF kaon = 2.254
chi^2/NDF kaon = 1.68636
chi^2/NDF kaon = 1.5023
chi^2/NDF kaon = 1.74321
chi^2/NDF kaon = 1.64822
chi^2/NDF kaon = 1.42043
chi^2/NDF kaon = 58.981
chi^2/NDF kaon = 1.4023
chi^2/NDF kaon = 1.71932
chi^2/NDF kaon = 1.82931
chi^2/NDF kaon = 1.75507
chi^2/NDF kaon = 59.2104
chi^2/NDF kaon = 1.55823
chi^2/NDF kaon = 34.3121
chi^2/NDF kaon = 1.54214
chi^2/NDF kaon = 1.38963
chi^2/NDF kaon = 40.4338
chi^2/NDF kaon = 1.36741
chi^2/NDF kaon = 1.29681
chi^2/NDF kaon = 1.3549
chi^2/NDF kaon = 1.5425
chi^2/NDF kaon = 1.39118
chi^2/NDF kaon = 1.3633
chi^2/NDF kaon = 1.32158
chi^2/NDF kaon = 1.38682
chi^2/NDF kaon = 1.43514
chi^2/NDF kaon = 1.41494
chi^2/NDF kaon = 1.45626
chi^2/NDF kaon = 1.2785
chi^2/NDF kaon = 1.61656
chi^2/NDF kaon = 1.83277
chi^2/NDF kaon = 1.34465
chi^2/NDF kaon = 1.44857
chi^2/NDF kaon = 1.88692
chi^2/NDF kaon = 1.56001
chi^2/NDF kaon = 1.39621
chi^2/NDF kaon = 2.05142
chi^2/NDF kaon = 1.73345
chi^2/NDF kaon = 1.24412
chi^2/NDF kaon = 2.69271
chi^2/NDF kaon = 66.6074
chi^2/NDF kaon = 128.228
chi^2/NDF kaon = 1.35284
chi^2/NDF kaon = 1.26899
chi^2/NDF kaon = 1.48063
chi^2/NDF kaon = 1.38939
chi^2/NDF kaon = 1.46241
chi^2/NDF kaon = 1.24671
chi^2/NDF kaon = 1.37572
chi^2/NDF kaon = 1.37334
chi^2/NDF kaon = 1.35403
chi^2/NDF kaon = 1.73299
chi^2/NDF kaon = 1.68965
chi^2/NDF kaon = 1.90165
chi^2/NDF kaon = 1.70418
chi^2/NDF kaon = 1.82747
chi^2/NDF kaon = 1.46447
chi^2/NDF kaon = 1.39882
chi^2/NDF kaon = 1.71727
chi^2/NDF kaon = 1.87246
chi^2/NDF kaon = 1.75625
chi^2/NDF kaon = 1.36138
chi^2/NDF kaon = 267.799
chi^2/NDF kaon = 1.28089
chi^2/NDF kaon = 1.48624
chi^2/NDF kaon = 1.29875
chi^2/NDF kaon = 1.35485
chi^2/NDF kaon = 1.46025
chi^2/NDF kaon = 1.78738
chi^2/NDF kaon = 1.45034
chi^2/NDF kaon = 1.85041
chi^2/NDF kaon = 1.76694
chi^2/NDF kaon = 1.50185
chi^2/NDF kaon = 1.42413
chi^2/NDF kaon = 1.32028
chi^2/NDF kaon = 1.72994
chi^2/NDF kaon = 1.46959
chi^2/NDF kaon = 1.3584
chi^2/NDF kaon = 1.89026
chi^2/NDF kaon = 1.28495
chi^2/NDF kaon = 58.8328
chi^2/NDF kaon = 1.50339
chi^2/NDF kaon = 1.8379
chi^2/NDF kaon = 1.2921
chi^2/NDF kaon = 2.79972
chi^2/NDF kaon = 1.72158
chi^2/NDF kaon = 1.85157
chi^2/NDF kaon = 62.6555
chi^2/NDF kaon = 72.8887
chi^2/NDF kaon = 1.37472
chi^2/NDF kaon = 1.98979
chi^2/NDF kaon = 1.39931
chi^2/NDF kaon = 1.75562
chi^2/NDF kaon = 1.27784
chi^2/NDF kaon = 52.9318
chi^2/NDF kaon = 1.7712
chi^2/NDF kaon = 1.74671
chi^2/NDF kaon = 1.97881
chi^2/NDF kaon = 1.366
chi^2/NDF kaon = 1.30097
chi^2/NDF kaon = 1.44079
chi^2/NDF kaon = 1.28358
chi^2/NDF kaon = 1.40459
chi^2/NDF kaon = 35.2303
chi^2/NDF kaon = 8.4505
chi^2/NDF kaon = 1.71875
chi^2/NDF kaon = 46.7231
chi^2/NDF kaon = 1.78784
chi^2/NDF kaon = 1.36325
chi^2/NDF kaon = 1.30687
chi^2/NDF kaon = 1.36376
chi^2/NDF kaon = 58.4437
chi^2/NDF kaon = 1.81426
chi^2/NDF kaon = 1.31049
chi^2/NDF kaon = 1.53488
chi^2/NDF kaon = 1.61748
chi^2/NDF kaon = 1.80266
chi^2/NDF kaon = 52.7498
chi^2/NDF kaon = 11.4168
chi^2/NDF kaon = 1.36672
chi^2/NDF kaon = 1.38122
chi^2/NDF kaon = 1.49383
chi^2/NDF kaon = 1.27576
chi^2/NDF kaon = 1.95575
chi^2/NDF kaon = 1.30904
chi^2/NDF kaon = 1.35689
chi^2/NDF kaon = 1.4095
chi^2/NDF kaon = 49.8303
chi^2/NDF kaon = 1.37386
chi^2/NDF kaon = 1.35889
chi^2/NDF kaon = 1.45932
chi^2/NDF kaon = 1.68457
chi^2/NDF kaon = 1.69079
chi^2/NDF kaon = 1.41956
chi^2/NDF kaon = 5.76434
chi^2/NDF kaon = 63.871
chi^2/NDF kaon = 8.8737
chi^2/NDF kaon = 1.34772
chi^2/NDF kaon = 1.80422
chi^2/NDF kaon = 1.71969
chi^2/NDF kaon = 1.76165
chi^2/NDF kaon = 1.30615
chi^2/NDF kaon = 1.31927
chi^2/NDF kaon = 1.29495
chi^2/NDF kaon = 1.39678
chi^2/NDF kaon = 1.40174
chi^2/NDF kaon = 1.44711
chi^2/NDF kaon = 64.8258
chi^2/NDF kaon = 1.82621
chi^2/NDF kaon = 1.46354
chi^2/NDF kaon = 1.4678
chi^2/NDF kaon = 1.40292
chi^2/NDF kaon = 1.3053
chi^2/NDF kaon = 1.62967
chi^2/NDF kaon = 1.34678
chi^2/NDF kaon = 1.39664
chi^2/NDF kaon = 1.78595
chi^2/NDF kaon = 33.8536
chi^2/NDF kaon = 62.3259
chi^2/NDF kaon = 1.82218
chi^2/NDF kaon = 1.22642
chi^2/NDF kaon = 1.38644
chi^2/NDF kaon = 1.82929
chi^2/NDF kaon = 1.56306
chi^2/NDF kaon = 1.77173
chi^2/NDF kaon = 4.76115
chi^2/NDF kaon = 1.28809
chi^2/NDF kaon = 1.7386
chi^2/NDF kaon = 1.72086
chi^2/NDF kaon = 49.5093
chi^2/NDF kaon = 68.9203
chi^2/NDF kaon = 1.41414
chi^2/NDF kaon = 1.55751
chi^2/NDF kaon = 50.6022
chi^2/NDF kaon = 27.2993
chi^2/NDF kaon = 45.1911
chi^2/NDF kaon = 1.45195
chi^2/NDF kaon = 1.8441
chi^2/NDF kaon = 1.79329
