chi^2 double peak:
chi^2/NDF kaon = 3.85146
chi^2/NDF kaon = 2.68868
chi^2/NDF kaon = 2.44916
chi^2/NDF kaon = 2.18951
chi^2/NDF kaon = 2.19184
chi^2/NDF kaon = 2.32815
chi^2/NDF kaon = 1.99051
chi^2/NDF kaon = 2.17046
chi^2/NDF kaon = 1.41901
chi^2/NDF kaon = 2.43691
chi^2/NDF kaon = 2.02753
chi^2/NDF kaon = 2.20763
chi^2/NDF kaon = 2.17273
chi^2/NDF kaon = 2.11259
chi^2/NDF kaon = 1.8447
chi^2/NDF kaon = 2.66486
chi^2/NDF kaon = 3.4404
chi^2/NDF kaon = 2.08819
chi^2/NDF kaon = 1.57061
chi^2/NDF kaon = 5.05194
chi^2/NDF kaon = 2.13647
chi^2/NDF kaon = 2.82231
chi^2/NDF kaon = 2.12028
chi^2/NDF kaon = 2.09833
chi^2/NDF kaon = 2.05881
chi^2/NDF kaon = 2.38325
chi^2/NDF kaon = 3.89294
chi^2/NDF kaon = 1.85923
chi^2/NDF kaon = 2.69593
chi^2/NDF kaon = 1.88731
chi^2/NDF kaon = 1.81136
chi^2/NDF kaon = 1.8921
chi^2/NDF kaon = 2.88908
chi^2/NDF kaon = 3.30577
chi^2/NDF kaon = 1.89028
chi^2/NDF kaon = 2.35343
chi^2/NDF kaon = 2.01004
chi^2/NDF kaon = 1.60859
chi^2/NDF kaon = 2.08409
chi^2/NDF kaon = 1.92229
chi^2/NDF kaon = 2.41364
chi^2/NDF kaon = 2.39472
chi^2/NDF kaon = 2.39653
chi^2/NDF kaon = 1.62463
chi^2/NDF kaon = 1.74883
chi^2/NDF kaon = 1.6263
chi^2/NDF kaon = 2.62563
chi^2/NDF kaon = 2.03324
chi^2/NDF kaon = 1.6639
chi^2/NDF kaon = 2.09977
chi^2/NDF kaon = 2.3784
chi^2/NDF kaon = 1.82643
chi^2/NDF kaon = 2.5687
chi^2/NDF kaon = 2.31356
chi^2/NDF kaon = 1.29205
chi^2/NDF kaon = 2.28009
chi^2/NDF kaon = 2.70253
chi^2/NDF kaon = 1.50644
chi^2/NDF kaon = 2.28048
chi^2/NDF kaon = 2.3272
chi^2/NDF kaon = 2.3825
chi^2/NDF kaon = 2.2715
chi^2/NDF kaon = 2.26593
chi^2/NDF kaon = 1.66522
chi^2/NDF kaon = 1.97174
chi^2/NDF kaon = 1.50872
chi^2/NDF kaon = 2.09895
chi^2/NDF kaon = 2.58953
chi^2/NDF kaon = 2.66854
chi^2/NDF kaon = 1.6886
chi^2/NDF kaon = 1.9061
chi^2/NDF kaon = 2.62164
chi^2/NDF kaon = 2.72868
chi^2/NDF kaon = 2.28398
chi^2/NDF kaon = 2.01089
chi^2/NDF kaon = 2.58509
chi^2/NDF kaon = 1.86405
chi^2/NDF kaon = 2.33341
chi^2/NDF kaon = 2.5006
chi^2/NDF kaon = 2.88815
chi^2/NDF kaon = 1.69691
chi^2/NDF kaon = 2.001
chi^2/NDF kaon = 2.36197
chi^2/NDF kaon = 2.5419
chi^2/NDF kaon = 2.38537
chi^2/NDF kaon = 2.00936
chi^2/NDF kaon = 1.74707
chi^2/NDF kaon = 2.79475
chi^2/NDF kaon = 2.47935
chi^2/NDF kaon = 1.25432
chi^2/NDF kaon = 1.5875
chi^2/NDF kaon = 2.2055
chi^2/NDF kaon = 1.5551
chi^2/NDF kaon = 2.19013
chi^2/NDF kaon = 2.40446
chi^2/NDF kaon = 2.29516
chi^2/NDF kaon = 2.65792
chi^2/NDF kaon = 1.7365
chi^2/NDF kaon = 3.16574
chi^2/NDF kaon = 2.12219
chi^2 single peak:
chi^2/NDF atmospheric = 6.78497
chi^2/NDF atmospheric = 4.34306
chi^2/NDF atmospheric = 4.25847
chi^2/NDF atmospheric = 2.99367
chi^2/NDF atmospheric = 3.90943
chi^2/NDF atmospheric = 3.42706
chi^2/NDF atmospheric = 3.45058
chi^2/NDF atmospheric = 4.55232
chi^2/NDF atmospheric = 4.05107
chi^2/NDF atmospheric = 3.31215
chi^2/NDF atmospheric = 4.4173
chi^2/NDF atmospheric = 3.60071
chi^2/NDF atmospheric = 5.62231
chi^2/NDF atmospheric = 3.10978
chi^2/NDF atmospheric = 3.80473
chi^2/NDF atmospheric = 4.74752
chi^2/NDF atmospheric = 6.53856
chi^2/NDF atmospheric = 3.62674
chi^2/NDF atmospheric = 3.01435
chi^2/NDF atmospheric = 2.48041
chi^2/NDF atmospheric = 3.17876
chi^2/NDF atmospheric = 4.71939
chi^2/NDF atmospheric = 2.92846
chi^2/NDF atmospheric = 2.88931
chi^2/NDF atmospheric = 2.96545
chi^2/NDF atmospheric = 4.43388
chi^2/NDF atmospheric = 7.07653
chi^2/NDF atmospheric = 4.24845
chi^2/NDF atmospheric = 3.93499
chi^2/NDF atmospheric = 3.98911
chi^2/NDF atmospheric = 4.27061
chi^2/NDF atmospheric = 2.51797
chi^2/NDF atmospheric = 6.00936
chi^2/NDF atmospheric = 4.69261
chi^2/NDF atmospheric = 2.64106
chi^2/NDF atmospheric = 3.71413
chi^2/NDF atmospheric = 2.57041
chi^2/NDF atmospheric = 3.57064
chi^2/NDF atmospheric = 5.64265
chi^2/NDF atmospheric = 2.88248
chi^2/NDF atmospheric = 4.71601
chi^2/NDF atmospheric = 3.59474
chi^2/NDF atmospheric = 3.85277
chi^2/NDF atmospheric = 3.36819
chi^2/NDF atmospheric = 4.64929
chi^2/NDF atmospheric = 3.50023
chi^2/NDF atmospheric = 4.32684
chi^2/NDF atmospheric = 4.3845
chi^2/NDF atmospheric = 3.82699
chi^2/NDF atmospheric = 3.63929
chi^2/NDF atmospheric = 4.47715
chi^2/NDF atmospheric = 2.51775
chi^2/NDF atmospheric = 3.35883
chi^2/NDF atmospheric = 3.92066
chi^2/NDF atmospheric = 2.96102
chi^2/NDF atmospheric = 4.2883
chi^2/NDF atmospheric = 4.35702
chi^2/NDF atmospheric = 2.73459
chi^2/NDF atmospheric = 3.98733
chi^2/NDF atmospheric = 4.67162
chi^2/NDF atmospheric = 3.50169
chi^2/NDF atmospheric = 3.84957
chi^2/NDF atmospheric = 3.98178
chi^2/NDF atmospheric = 3.90947
chi^2/NDF atmospheric = 2.78783
chi^2/NDF atmospheric = 2.74442
chi^2/NDF atmospheric = 3.70984
chi^2/NDF atmospheric = 3.9847
chi^2/NDF atmospheric = 4.62831
chi^2/NDF atmospheric = 3.49049
chi^2/NDF atmospheric = 3.75842
chi^2/NDF atmospheric = 4.34103
chi^2/NDF atmospheric = 4.51336
chi^2/NDF atmospheric = 3.79401
chi^2/NDF atmospheric = 3.14537
chi^2/NDF atmospheric = 4.27361
chi^2/NDF atmospheric = 2.62538
chi^2/NDF atmospheric = 3.692
chi^2/NDF atmospheric = 3.06315
chi^2/NDF atmospheric = 5.54726
chi^2/NDF atmospheric = 4.71848
chi^2/NDF atmospheric = 2.98042
chi^2/NDF atmospheric = 4.10427
chi^2/NDF atmospheric = 5.41135
chi^2/NDF atmospheric = 9.59183
chi^2/NDF atmospheric = 3.44894
chi^2/NDF atmospheric = 4.23541
chi^2/NDF atmospheric = 8.42027
chi^2/NDF atmospheric = 7.19699
chi^2/NDF atmospheric = 2.42853
chi^2/NDF atmospheric = 3.419
chi^2/NDF atmospheric = 3.45933
chi^2/NDF atmospheric = 3.4491
chi^2/NDF atmospheric = 3.62773
chi^2/NDF atmospheric = 3.57404
chi^2/NDF atmospheric = 2.79463
chi^2/NDF atmospheric = 2.52042
chi^2/NDF atmospheric = 3.47638
chi^2/NDF atmospheric = 3.75244
chi^2/NDF atmospheric = 3.92098
