Chi^2 Kaon Lines:
chi^2/NDF kaon = 110.002
chi^2/NDF kaon = 5.10875
chi^2/NDF kaon = 3.80152
chi^2/NDF kaon = 118.082
chi^2/NDF kaon = 2.91043
chi^2/NDF kaon = 1.3386
chi^2/NDF kaon = 4.11782
chi^2/NDF kaon = 311.752
chi^2/NDF kaon = 4.37223
chi^2/NDF kaon = 208.059
chi^2/NDF kaon = 17.4057
chi^2/NDF kaon = 5.02734
chi^2/NDF kaon = 15.3418
chi^2/NDF kaon = 11.6164
chi^2/NDF kaon = 113.978
chi^2/NDF kaon = 13.7572
chi^2/NDF kaon = 4.59562
chi^2/NDF kaon = 62.3465
chi^2/NDF kaon = 39.965
chi^2/NDF kaon = 2.26038
chi^2/NDF kaon = 102.733
chi^2/NDF kaon = 256.528
chi^2/NDF kaon = 4.34447
chi^2/NDF kaon = 9.90859
chi^2/NDF kaon = 8.78478
chi^2/NDF kaon = 2.16613
chi^2/NDF kaon = 3.32884
chi^2/NDF kaon = 18.6167
chi^2/NDF kaon = 25.4995
chi^2/NDF kaon = 111.382
chi^2/NDF kaon = 16.4223
chi^2/NDF kaon = 110.062
chi^2/NDF kaon = 53.6807
chi^2/NDF kaon = 14.0052
chi^2/NDF kaon = 4.05598
chi^2/NDF kaon = 137.833
chi^2/NDF kaon = 6.13433
chi^2/NDF kaon = 4.25132
chi^2/NDF kaon = 119.593
chi^2/NDF kaon = 68.8212
chi^2/NDF kaon = 2.72479
chi^2/NDF kaon = 3.99738
chi^2/NDF kaon = 2.70757
chi^2/NDF kaon = 3.79359
chi^2/NDF kaon = 2.44791
chi^2/NDF kaon = 4.05394
chi^2/NDF kaon = 4.09194
chi^2/NDF kaon = 3.34456
chi^2/NDF kaon = 3.9934
chi^2/NDF kaon = 101.507
chi^2/NDF kaon = 2.45957
chi^2/NDF kaon = 4.24267
chi^2/NDF kaon = 65.7322
chi^2/NDF kaon = 2.91131
chi^2/NDF kaon = 57.8688
chi^2/NDF kaon = 3.1606
chi^2/NDF kaon = 4.80567
chi^2/NDF kaon = 29.7881
chi^2/NDF kaon = 35.2415
chi^2/NDF kaon = 2.90113
chi^2/NDF kaon = 7.25506
chi^2/NDF kaon = 56.7207
chi^2/NDF kaon = 3.84262
chi^2/NDF kaon = 2.1594
chi^2/NDF kaon = 3.39275
chi^2/NDF kaon = 6.11664
chi^2/NDF kaon = 71.6615
chi^2/NDF kaon = 3.37387
chi^2/NDF kaon = 9.69576
chi^2/NDF kaon = 103.819
chi^2/NDF kaon = 3.57204
chi^2/NDF kaon = 119.166
chi^2/NDF kaon = 101.769
chi^2/NDF kaon = 5.59002
chi^2/NDF kaon = 100.406
chi^2/NDF kaon = 32.9027
chi^2/NDF kaon = 3.87966
chi^2/NDF kaon = 3.40254
chi^2/NDF kaon = 4.09453
chi^2/NDF kaon = 4.99453
chi^2/NDF kaon = 27.6538
chi^2/NDF kaon = 12.1395
chi^2/NDF kaon = 4.589
chi^2/NDF kaon = 4.88145
chi^2/NDF kaon = 142.839
chi^2/NDF kaon = 7.59311
chi^2/NDF kaon = 8.61033
chi^2/NDF kaon = 30.4145
chi^2/NDF kaon = 186.227
chi^2/NDF kaon = 56.5449
chi^2/NDF kaon = 3.68772
chi^2/NDF kaon = 15.6222
chi^2/NDF kaon = 7.10192
chi^2/NDF kaon = 3.93348
chi^2/NDF kaon = 103.365
chi^2/NDF kaon = 64.5372
chi^2/NDF kaon = 532.077
chi^2/NDF kaon = 8.75546
chi^2/NDF kaon = 3.88075
chi^2/NDF kaon = 68.7944
chi^2/NDF kaon = 112.205
chi^2/NDF kaon = 130.831
chi^2/NDF kaon = 3.63538
chi^2/NDF kaon = 97.5349
chi^2/NDF kaon = 3.00069
chi^2/NDF kaon = 3.61041
chi^2/NDF kaon = 3.73273
chi^2/NDF kaon = 62.6703
chi^2/NDF kaon = 18.6416
chi^2/NDF kaon = 4.07218
chi^2/NDF kaon = 3.82096
chi^2/NDF kaon = 2.72023
chi^2/NDF kaon = 4.0172
chi^2/NDF kaon = 5.45652
chi^2/NDF kaon = 74.3342
chi^2/NDF kaon = 3.26905
chi^2/NDF kaon = 14.3846
chi^2/NDF kaon = 12.588
chi^2/NDF kaon = 3.93355
chi^2/NDF kaon = 71.5192
chi^2/NDF kaon = 4.43712
chi^2/NDF kaon = 9.11734
chi^2/NDF kaon = 129.578
chi^2/NDF kaon = 13.3658
chi^2/NDF kaon = 5.90383
chi^2/NDF kaon = 44.0342
chi^2/NDF kaon = 4.06546
chi^2/NDF kaon = 121.29
chi^2/NDF kaon = 69.0443
chi^2/NDF kaon = 210.858
chi^2/NDF kaon = 27.9001
chi^2/NDF kaon = 1.87009
chi^2/NDF kaon = 15.5973
chi^2/NDF kaon = 162.293
chi^2/NDF kaon = 40.8182
chi^2/NDF kaon = 3.48619
chi^2/NDF kaon = 5.87506
chi^2/NDF kaon = 186.113
chi^2/NDF kaon = 3.82871
chi^2/NDF kaon = 34.1557
chi^2/NDF kaon = 70.1571
chi^2/NDF kaon = 56.2146
chi^2/NDF kaon = 4.44909
chi^2/NDF kaon = 66.4033
chi^2/NDF kaon = 4.27168
chi^2/NDF kaon = 3.03051
chi^2/NDF kaon = 99.5659
chi^2/NDF kaon = 5.08097
chi^2/NDF kaon = 3.83081
chi^2/NDF kaon = 4.40677
chi^2/NDF kaon = 130.081
chi^2/NDF kaon = 146.52
chi^2/NDF kaon = 20.731
chi^2/NDF kaon = 3.12698
chi^2/NDF kaon = 4.3592
chi^2/NDF kaon = 3.8658
chi^2/NDF kaon = 1266.55
chi^2/NDF kaon = 3.94906
chi^2/NDF kaon = 9.28418
chi^2/NDF kaon = 2.63383
chi^2/NDF kaon = 127.342
chi^2/NDF kaon = 48.9856
chi^2/NDF kaon = 3.92183
chi^2/NDF kaon = 35.2495
chi^2/NDF kaon = 45.4892
chi^2/NDF kaon = 20.7067
chi^2/NDF kaon = 3.11593
chi^2/NDF kaon = 99.68
chi^2/NDF kaon = 39.6211
chi^2/NDF kaon = 520.841
chi^2/NDF kaon = 38.6223
chi^2/NDF kaon = 47.6377
chi^2/NDF kaon = 9.10739
chi^2/NDF kaon = 3.73953
chi^2/NDF kaon = 4.09799
chi^2/NDF kaon = 3.38545
chi^2/NDF kaon = 3.17842
chi^2/NDF kaon = 95.6881
chi^2/NDF kaon = 310.118
chi^2/NDF kaon = 7.73324
chi^2/NDF kaon = 35.6262
chi^2/NDF kaon = 143.073
chi^2/NDF kaon = 1.97122
chi^2/NDF kaon = 4.05764
chi^2/NDF kaon = 104.793
chi^2/NDF kaon = 37.0816
chi^2/NDF kaon = 6.83655
chi^2/NDF kaon = 4.17764
chi^2/NDF kaon = 106.648
chi^2/NDF kaon = 4.23501
chi^2/NDF kaon = 17.473
chi^2/NDF kaon = 4.8994
chi^2/NDF kaon = 2.47097
chi^2/NDF kaon = 3.33853
chi^2/NDF kaon = 53.7088
chi^2/NDF kaon = 419.799
chi^2/NDF kaon = 85.805
chi^2/NDF kaon = 44.5935
chi^2/NDF kaon = 153.666
chi^2/NDF kaon = 2.11861
chi^2/NDF kaon = 118.25
chi^2/NDF kaon = 4.04463
chi^2/NDF kaon = 3.59889
chi^2/NDF kaon = 4.25698
chi^2/NDF kaon = 527.053
chi^2/NDF kaon = 10.7273
chi^2/NDF kaon = 4.9724
chi^2/NDF kaon = 2.6422
chi^2/NDF kaon = 102.317
chi^2/NDF kaon = 28.4416
chi^2/NDF kaon = 3.06256
chi^2/NDF kaon = 7.57153
chi^2/NDF kaon = 4.08457
chi^2/NDF kaon = 9.7187
chi^2/NDF kaon = 36.5106
chi^2/NDF kaon = 62.0021
chi^2/NDF kaon = 2.0801
chi^2/NDF kaon = 3.48446
chi^2/NDF kaon = 43.1666
chi^2/NDF kaon = 3.70796
chi^2/NDF kaon = 4.67433
chi^2/NDF kaon = 5.10052
chi^2/NDF kaon = 10.6118
chi^2/NDF kaon = 4.49806
chi^2/NDF kaon = 155.289
chi^2/NDF kaon = 16.9969
chi^2/NDF kaon = 124.424
chi^2/NDF kaon = 2.23503
chi^2/NDF kaon = 79.5888
chi^2/NDF kaon = 138.499
chi^2/NDF kaon = 3.96858
chi^2/NDF kaon = 4.13364
chi^2/NDF kaon = 2.11528
chi^2/NDF kaon = 4.15239
chi^2/NDF kaon = 86.0096
chi^2/NDF kaon = 198.035
chi^2/NDF kaon = 110.999
chi^2/NDF kaon = 2.47646
chi^2/NDF kaon = 10.0584
chi^2/NDF kaon = 2.92153
chi^2/NDF kaon = 62.2581
chi^2/NDF kaon = 91.1215
chi^2/NDF kaon = 3.86463
chi^2/NDF kaon = 59.4433
chi^2/NDF kaon = 4.04852
chi^2/NDF kaon = 154.333
chi^2/NDF kaon = 3.29912
chi^2/NDF kaon = 123.446
chi^2/NDF kaon = 228.478
chi^2/NDF kaon = 2.91274
chi^2/NDF kaon = 4.66048
chi^2/NDF kaon = 3.99775
chi^2/NDF kaon = 64.2278
chi^2/NDF kaon = 3.90212
chi^2/NDF kaon = 57.4364
