chi^2 double peak:
chi^2/NDF kaon = 2.43501
chi^2/NDF kaon = 2.2103
chi^2/NDF kaon = 2.32684
chi^2/NDF kaon = 2.13436
chi^2/NDF kaon = 2.75028
chi^2/NDF kaon = 2.31207
chi^2/NDF kaon = 2.47723
chi^2/NDF kaon = 2.37045
chi^2/NDF kaon = 2.19459
chi^2/NDF kaon = 2.17485
chi^2/NDF kaon = 36.4889
chi^2/NDF kaon = 2.59737
chi^2/NDF kaon = 1.75018
chi^2/NDF kaon = 2.02431
chi^2/NDF kaon = 1.92994
chi^2/NDF kaon = 1.90316
chi^2/NDF kaon = 2.3777
chi^2/NDF kaon = 2.35299
chi^2/NDF kaon = 2.8783
chi^2/NDF kaon = 2.10709
chi^2/NDF kaon = 2.60441
chi^2/NDF kaon = 1.76489
chi^2/NDF kaon = 4.31333
chi^2/NDF kaon = 2.00033
chi^2/NDF kaon = 2.52427
chi^2/NDF kaon = 2.16165
chi^2/NDF kaon = 2.1393
chi^2/NDF kaon = 2.48929
chi^2/NDF kaon = 3.00791
chi^2/NDF kaon = 2.02212
chi^2/NDF kaon = 1.80495
chi^2/NDF kaon = 2.2769
chi^2/NDF kaon = 1.66463
chi^2/NDF kaon = 2.0545
chi^2/NDF kaon = 4.13159
chi^2/NDF kaon = 2.24936
chi^2/NDF kaon = 1.90003
chi^2/NDF kaon = 1.6182
chi^2/NDF kaon = 1.89786
chi^2/NDF kaon = 1.54324
chi^2/NDF kaon = 2.46867
chi^2/NDF kaon = 2.52763
chi^2/NDF kaon = 1.91835
chi^2/NDF kaon = 2.2407
chi^2/NDF kaon = 2.17661
chi^2/NDF kaon = 2.48571
chi^2/NDF kaon = 2.21911
chi^2/NDF kaon = 2.25342
chi^2/NDF kaon = 2.13829
chi^2/NDF kaon = 2.44497
chi^2/NDF kaon = 1.92037
chi^2/NDF kaon = 2.77842
chi^2/NDF kaon = 2.36507
chi^2/NDF kaon = 2.35707
chi^2/NDF kaon = 1.85004
chi^2/NDF kaon = 2.099
chi^2/NDF kaon = 2.30318
chi^2/NDF kaon = 2.25225
chi^2/NDF kaon = 2.25903
chi^2/NDF kaon = 2.53192
chi^2/NDF kaon = 1.77028
chi^2/NDF kaon = 1.86584
chi^2/NDF kaon = 1.69094
chi^2/NDF kaon = 2.67455
chi^2/NDF kaon = 1.4562
chi^2/NDF kaon = 3.03897
chi^2/NDF kaon = 2.28443
chi^2/NDF kaon = 2.17569
chi^2/NDF kaon = 1.78325
chi^2/NDF kaon = 2.35456
chi^2/NDF kaon = 1.84869
chi^2/NDF kaon = 2.41976
chi^2/NDF kaon = 2.00788
chi^2/NDF kaon = 3.58119
chi^2/NDF kaon = 2.28801
chi^2/NDF kaon = 1.98303
chi^2/NDF kaon = 2.93917
chi^2/NDF kaon = 1.60807
chi^2/NDF kaon = 2.43763
chi^2/NDF kaon = 2.1722
chi^2/NDF kaon = 2.41092
chi^2/NDF kaon = 2.97084
chi^2/NDF kaon = 2.40498
chi^2/NDF kaon = 1.39241
chi^2/NDF kaon = 2.45998
chi^2/NDF kaon = 2.1489
chi^2/NDF kaon = 2.34454
chi^2/NDF kaon = 1.9502
chi^2/NDF kaon = 2.22722
chi^2/NDF kaon = 2.40473
chi^2/NDF kaon = 1.8766
chi^2/NDF kaon = 1.70655
chi^2/NDF kaon = 2.55722
chi^2/NDF kaon = 1.88847
chi^2/NDF kaon = 2.29524
chi^2/NDF kaon = 2.02879
chi^2/NDF kaon = 1.9586
chi^2/NDF kaon = 1.9615
chi^2/NDF kaon = 2.00431
chi^2/NDF kaon = 2.29218
chi^2 single peak:
chi^2/NDF atmospheric = 3.66956
chi^2/NDF atmospheric = 3.8397
chi^2/NDF atmospheric = 3.3308
chi^2/NDF atmospheric = 2.85133
chi^2/NDF atmospheric = 3.99739
chi^2/NDF atmospheric = 3.69064
chi^2/NDF atmospheric = 5.62889
chi^2/NDF atmospheric = 4.452
chi^2/NDF atmospheric = 4.36356
chi^2/NDF atmospheric = 4.71756
chi^2/NDF atmospheric = 60.5898
chi^2/NDF atmospheric = 4.19117
chi^2/NDF atmospheric = 3.67023
chi^2/NDF atmospheric = 2.963
chi^2/NDF atmospheric = 3.0294
chi^2/NDF atmospheric = 2.53026
chi^2/NDF atmospheric = 4.46451
chi^2/NDF atmospheric = 3.96097
chi^2/NDF atmospheric = 5.04042
chi^2/NDF atmospheric = 2.84439
chi^2/NDF atmospheric = 4.05699
chi^2/NDF atmospheric = 3.03771
chi^2/NDF atmospheric = 7.94341
chi^2/NDF atmospheric = 4.14256
chi^2/NDF atmospheric = 3.75454
chi^2/NDF atmospheric = 3.70401
chi^2/NDF atmospheric = 4.15561
chi^2/NDF atmospheric = 3.8399
chi^2/NDF atmospheric = 5.64917
chi^2/NDF atmospheric = 3.34574
chi^2/NDF atmospheric = 3.71383
chi^2/NDF atmospheric = 3.74974
chi^2/NDF atmospheric = 2.57558
chi^2/NDF atmospheric = 3.02227
chi^2/NDF atmospheric = 13.3227
chi^2/NDF atmospheric = 3.08903
chi^2/NDF atmospheric = 3.09791
chi^2/NDF atmospheric = 7.55597
chi^2/NDF atmospheric = 2.86297
chi^2/NDF atmospheric = 2.75394
chi^2/NDF atmospheric = 3.46952
chi^2/NDF atmospheric = 3.73511
chi^2/NDF atmospheric = 3.39508
chi^2/NDF atmospheric = 3.28193
chi^2/NDF atmospheric = 3.65584
chi^2/NDF atmospheric = 8.04826
chi^2/NDF atmospheric = 3.4395
chi^2/NDF atmospheric = 3.90659
chi^2/NDF atmospheric = 3.36853
chi^2/NDF atmospheric = 4.13173
chi^2/NDF atmospheric = 3.09654
chi^2/NDF atmospheric = 3.79822
chi^2/NDF atmospheric = 8.99314
chi^2/NDF atmospheric = 3.17647
chi^2/NDF atmospheric = 2.49572
chi^2/NDF atmospheric = 3.06445
chi^2/NDF atmospheric = 4.01497
chi^2/NDF atmospheric = 4.20844
chi^2/NDF atmospheric = 4.03531
chi^2/NDF atmospheric = 3.83175
chi^2/NDF atmospheric = 2.74251
chi^2/NDF atmospheric = 4.03592
chi^2/NDF atmospheric = 3.69087
chi^2/NDF atmospheric = 5.23651
chi^2/NDF atmospheric = 2.5869
chi^2/NDF atmospheric = 6.86803
chi^2/NDF atmospheric = 3.56032
chi^2/NDF atmospheric = 3.05968
chi^2/NDF atmospheric = 3.00986
chi^2/NDF atmospheric = 3.07184
chi^2/NDF atmospheric = 2.87255
chi^2/NDF atmospheric = 3.71502
chi^2/NDF atmospheric = 3.07331
chi^2/NDF atmospheric = 14.6978
chi^2/NDF atmospheric = 3.23163
chi^2/NDF atmospheric = 2.7588
chi^2/NDF atmospheric = 3.86178
chi^2/NDF atmospheric = 3.11909
chi^2/NDF atmospheric = 4.27097
chi^2/NDF atmospheric = 3.88667
chi^2/NDF atmospheric = 4.121
chi^2/NDF atmospheric = 4.81528
chi^2/NDF atmospheric = 4.01365
chi^2/NDF atmospheric = 2.8582
chi^2/NDF atmospheric = 4.48768
chi^2/NDF atmospheric = 7.68945
chi^2/NDF atmospheric = 3.74796
chi^2/NDF atmospheric = 2.71486
chi^2/NDF atmospheric = 2.99617
chi^2/NDF atmospheric = 3.40902
chi^2/NDF atmospheric = 2.37078
chi^2/NDF atmospheric = 3.09316
chi^2/NDF atmospheric = 4.13411
chi^2/NDF atmospheric = 4.11126
chi^2/NDF atmospheric = 3.04866
chi^2/NDF atmospheric = 3.14508
chi^2/NDF atmospheric = 2.88341
chi^2/NDF atmospheric = 2.98703
chi^2/NDF atmospheric = 3.10858
chi^2/NDF atmospheric = 3.60792
