chi^2 double peak:
chi^2/NDF kaon = 2.18049
chi^2/NDF kaon = 1.97119
chi^2/NDF kaon = 2.22773
chi^2/NDF kaon = 2.67952
chi^2/NDF kaon = 2.30982
chi^2/NDF kaon = 2.38971
chi^2/NDF kaon = 2.36229
chi^2/NDF kaon = 2.26829
chi^2/NDF kaon = 1.96877
chi^2/NDF kaon = 2.5825
chi^2/NDF kaon = 2.08763
chi^2/NDF kaon = 2.16995
chi^2/NDF kaon = 2.07701
chi^2/NDF kaon = 1.48225
chi^2/NDF kaon = 2.26724
chi^2/NDF kaon = 2.00474
chi^2/NDF kaon = 2.46969
chi^2/NDF kaon = 2.14609
chi^2/NDF kaon = 2.57588
chi^2/NDF kaon = 3.58695
chi^2/NDF kaon = 3.77928
chi^2/NDF kaon = 1.95158
chi^2/NDF kaon = 2.2904
chi^2/NDF kaon = 1.78153
chi^2/NDF kaon = 1.84853
chi^2/NDF kaon = 1.57802
chi^2/NDF kaon = 4.13808
chi^2/NDF kaon = 2.48488
chi^2/NDF kaon = 3.26552
chi^2/NDF kaon = 2.25806
chi^2/NDF kaon = 2.56727
chi^2/NDF kaon = 2.75063
chi^2/NDF kaon = 1.50696
chi^2/NDF kaon = 1.87903
chi^2/NDF kaon = 2.08878
chi^2/NDF kaon = 1.92732
chi^2/NDF kaon = 4.86982
chi^2/NDF kaon = 2.34824
chi^2/NDF kaon = 2.27158
chi^2/NDF kaon = 1.552
chi^2/NDF kaon = 3.07524
chi^2/NDF kaon = 2.59357
chi^2/NDF kaon = 2.3068
chi^2/NDF kaon = 2.05673
chi^2/NDF kaon = 2.19101
chi^2/NDF kaon = 2.12952
chi^2/NDF kaon = 3.14731
chi^2/NDF kaon = 2.87102
chi^2/NDF kaon = 1.99386
chi^2/NDF kaon = 1.97914
chi^2/NDF kaon = 2.28361
chi^2/NDF kaon = 2.04216
chi^2/NDF kaon = 1.85602
chi^2/NDF kaon = 1.8147
chi^2/NDF kaon = 1.71519
chi^2/NDF kaon = 4.27437
chi^2/NDF kaon = 3.40877
chi^2/NDF kaon = 2.53932
chi^2/NDF kaon = 1.62158
chi^2/NDF kaon = 2.06019
chi^2/NDF kaon = 2.08167
chi^2/NDF kaon = 1.61969
chi^2/NDF kaon = 1.78386
chi^2/NDF kaon = 2.30911
chi^2/NDF kaon = 1.82981
chi^2/NDF kaon = 2.55525
chi^2/NDF kaon = 2.31118
chi^2/NDF kaon = 2.39987
chi^2/NDF kaon = 2.7815
chi^2/NDF kaon = 2.24726
chi^2/NDF kaon = 7.97735
chi^2/NDF kaon = 1.72067
chi^2/NDF kaon = 2.59463
chi^2/NDF kaon = 3.54636
chi^2/NDF kaon = 2.47415
chi^2/NDF kaon = 2.19555
chi^2/NDF kaon = 2.29061
chi^2/NDF kaon = 2.21114
chi^2/NDF kaon = 2.20787
chi^2/NDF kaon = 1.76169
chi^2/NDF kaon = 2.38843
chi^2/NDF kaon = 2.10157
chi^2/NDF kaon = 1.63496
chi^2/NDF kaon = 2.35958
chi^2/NDF kaon = 2.07949
chi^2/NDF kaon = 2.50195
chi^2/NDF kaon = 4.01897
chi^2/NDF kaon = 2.19871
chi^2/NDF kaon = 2.03132
chi^2/NDF kaon = 2.80164
chi^2/NDF kaon = 2.21448
chi^2/NDF kaon = 2.66806
chi^2/NDF kaon = 2.21408
chi^2/NDF kaon = 2.00905
chi^2/NDF kaon = 2.45352
chi^2/NDF kaon = 2.2687
